startPC,control_pc,count
800137de,800137f2,3
80014e2e,80014e32,1
8000ea76,8000ea92,1
8000eac0,8000eac0,1
8000eaf6,8000eb02,1
80010830,80010840,1
80010860,8001086c,1
80013880,80013888,1
800138b6,800138d2,1
800138de,800138e4,1
800138e6,80013902,1
80014de0,80014dec,1
80014df8,80014e14,1
80014e18,80014e2a,1
8000a418,8000a428,1
80014e36,80014e42,1
80014e44,80014e56,1
80016d18,80016d26,1
80016d2a,80016d32,1
80016d60,80016d62,1
80016d66,80016d70,1
80016efe,80016f06,1
80016f6c,80016f9e,1
80016fa2,80016faa,1
80016fc6,80016fcc,1
80016fd0,80016fd0,1
80024d60,80024d60,1
8000634e,80006358,1
80000010,80000022,1
8000002a,80000038,1
800002d6,800002f6,1
80000320,80000320,1
8000032c,80000330,1
80000360,80000384,1
80000640,8000067a,1
80000680,80000682,1
800062ce,800062f2,1
8000630e,8000631e,1
80006320,80006324,1
80006328,80006332,1
80000000,8000000c,1
8000635c,8000635c,1
8000640c,80006410,1
80006414,80006418,1
80006420,8000642e,1
8000643c,80006442,1
80006446,80006448,1
8000644c,80006458,1
80006480,80006488,1
8000653e,80006542,1
800072b6,800072da,1
800072dc,800072f0,1
8000a3f4,8000a410,1
