pc,type,mispredicts,total,misPermil,dirMiss,tgtMiss,noPredMiss
800137f2,4,3,2499974,0.00120001,0,2,1
800138d2,0,1,1,1000,0,0,1
8000642e,0,1,1,1000,0,0,1
800072da,5,1,1,1000,0,0,1
800072f0,4,1,1,1000,0,0,1
8000a428,4,1,1,1000,0,0,1
8000eac0,4,1,1,1000,0,0,1
8000eb02,4,1,1,1000,0,0,1
80010840,0,1,1,1000,0,0,1
8001086c,4,1,1,1000,0,0,1
80013888,4,1,1,1000,0,0,1
80000022,0,1,1,1000,0,0,1
800138e4,4,1,1,1000,0,0,1
80013902,4,1,1,1000,0,0,1
80014dec,4,1,1,1000,0,0,1
80014e2a,0,1,1,1000,0,0,1
80014e42,4,1,1,1000,0,0,1
80016d70,4,1,1,1000,0,0,1
80016f06,0,1,1,1000,0,0,1
80016faa,0,1,2499973,0.000400004,0,0,1
80016fd0,0,1,2499972,0.000400004,0,0,1
80024d60,4,1,1,1000,0,0,1
80006418,0,1,1,1000,0,0,1
80000682,4,1,1,1000,0,0,1
800062f2,0,1,1,1000,0,0,1
8000067a,4,1,1,1000,0,0,1
8000631e,5,1,1,1000,0,0,1
80006324,0,1,1,1000,0,0,1
80006332,5,1,1,1000,0,0,1
80000330,0,1,1,1000,1,0,0
80000320,0,1,1,1000,0,0,1
8000635c,0,1,1,1000,0,0,1
80000038,0,1,1,1000,0,0,1
80014df8,0,0,1,0,0,0,0
8000000c,2,0,1,0,0,0,0
80024d40,0,0,1,0,0,0,0
80016fcc,2,0,2499973,0,0,0,0
800002f0,0,0,1,0,0,0,0
80000384,2,0,1,0,0,0,0
80014dbe,0,0,1,0,0,0,0
80014dd6,0,0,1,0,0,0,0
80016fa2,0,0,1,0,0,0,0
80014de0,0,0,1,0,0,0,0
80000368,0,0,1,0,0,0,0
80016d62,2,0,1,0,0,0,0
80014e14,2,0,1,0,0,0,0
80016f9e,2,0,1,0,0,0,0
80014e32,2,0,1,0,0,0,0
800002f6,2,0,1,0,0,0,0
80014e56,1,0,1,0,0,0,0
80016d26,2,0,1,0,0,0,0
80000316,0,0,1,0,0,0,0
80016d32,2,0,1,0,0,0,0
80016d3e,0,0,1,0,0,0,0
80016d40,0,0,1,0,0,0,0
80016d56,0,0,1,0,0,0,0
800072d8,0,0,1,0,0,0,0
80006410,2,0,1,0,0,0,0
80006442,2,0,1,0,0,0,0
80006448,2,0,1,0,0,0,0
8000644c,0,0,1,0,0,0,0
80006452,0,0,1,0,0,0,0
80006458,2,0,1,0,0,0,0
80006464,0,0,1,0,0,0,0
80006474,0,0,1,0,0,0,0
80006488,2,0,1,0,0,0,0
8000653e,0,0,1,0,0,0,0
80006542,1,0,1,0,0,0,0
800072be,0,0,1,0,0,0,0
800072d0,0,0,1,0,0,0,0
80006314,0,0,1,0,0,0,0
800072de,0,0,1,0,0,0,0
80006358,2,0,1,0,0,0,0
8000a404,0,0,1,0,0,0,0
8000a410,1,0,1,0,0,0,0
8000a41c,0,0,1,0,0,0,0
80006334,0,0,1,0,0,0,0
8000ea86,0,0,1,0,0,0,0
8000ea92,1,0,1,0,0,0,0
8000ea9e,0,0,1,0,0,0,0
8000eafe,0,0,1,0,0,0,0
8000632e,0,0,1,0,0,0,0
80010834,0,0,1,0,0,0,0
